Date,Clicks,Impressions,CTR,Position
2026-06-01,0,0,,
2026-06-02,0,0,,
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,0,0,,
2026-06-06,0,0,,
2026-06-07,0,1,0%,81
2026-06-08,0,0,,
2026-06-09,0,1,0%,11
2026-06-10,0,0,,
2026-06-11,0,5,0%,35
2026-06-12,0,7,0%,9
2026-06-13,0,6,0%,8.3
2026-06-14,0,4,0%,11
2026-06-15,0,5,0%,46.4
2026-06-16,0,0,,
2026-06-17,0,6,0%,7.5
2026-06-18,0,1,0%,5
2026-06-19,0,5,0%,15.8
2026-06-20,0,11,0%,59.5
2026-06-21,0,78,0%,41.5
2026-06-22,1,24,4.17%,4.9
2026-06-23,0,17,0%,20.7
2026-06-24,0,31,0%,19.7
2026-06-25,0,13,0%,23.8
2026-06-26,0,15,0%,10.3
2026-06-27,0,18,0%,16.7
2026-06-28,0,22,0%,17.1
2026-06-29,0,37,0%,24.7
2026-06-30,2,35,5.71%,18.2
2026-07-01,0,32,0%,19
2026-07-02,0,22,0%,16.6
2026-07-03,0,19,0%,10.7
2026-07-04,0,19,0%,14.2
2026-07-05,0,17,0%,14.2
2026-07-06,0,18,0%,13.5
2026-07-07,0,18,0%,28.2
2026-07-08,1,32,3.12%,30.4
2026-07-09,0,36,0%,25.6
2026-07-10,0,51,0%,23.9
