Country,Clicks,Impressions,CTR,Position
France,1,23,4.35%,4.74
Vietnam,1,8,12.5%,25.62
Brazil,1,7,14.29%,8
Spain,1,5,20%,8.4
United States,0,333,0%,30.71
Netherlands,0,59,0%,9.03
Germany,0,38,0%,7.95
United Kingdom,0,18,0%,8.67
Canada,0,15,0%,12.47
Italy,0,11,0%,35.09
Indonesia,0,9,0%,36.22
South Korea,0,6,0%,5.83
Egypt,0,5,0%,21.2
Malaysia,0,5,0%,50
Colombia,0,5,0%,65
India,0,4,0%,11
Portugal,0,3,0%,4.33
Japan,0,3,0%,8.33
Australia,0,3,0%,11
Mexico,0,3,0%,23.33
Pakistan,0,3,0%,27.33
Philippines,0,3,0%,29.33
Switzerland,0,2,0%,2
Thailand,0,2,0%,2.5
Hong Kong,0,2,0%,7.5
Singapore,0,2,0%,7.5
New Zealand,0,2,0%,8.5
Ukraine,0,2,0%,8.5
Austria,0,2,0%,9
China,0,2,0%,9
Russia,0,2,0%,9
South Africa,0,2,0%,12
Nigeria,0,2,0%,21.5
Morocco,0,2,0%,27
Bangladesh,0,2,0%,31.5
Georgia,0,1,0%,1
Slovakia,0,1,0%,4
Taiwan,0,1,0%,4
Greece,0,1,0%,5
Poland,0,1,0%,7
Luxembourg,0,1,0%,8
Czechia,0,1,0%,9
Hungary,0,1,0%,9
Lithuania,0,1,0%,9
Chile,0,1,0%,11
Ecuador,0,1,0%,25
